"Table 1: Bilateral Estimates of Migrant Stocks in 2010","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Destination country (across)                                                              -                                                   Source country (down) ","Afghanistan","Albania","Algeria","American Samoa","Andorra","Angola","Antigua and Barbuda","Argentina","Armenia","Aruba","Australia","Austria","Azerbaijan","Bahamas, The","Bahrain","Bangladesh","Barbados","Belarus","Belgium","Belize","Benin","Bermuda","Bhutan","Bolivia","Bosnia and Herzegovina","Botswana","Brazil","Brunei Darussalam","Bulgaria","Burkina Faso","Burundi","Cambodia","Cameroon","Canada","Cape Verde","Cayman Islands","Central African Republic","Chad","Channel Islands","Chile","China","Colombia","Comoros","Congo, Dem. Rep.","Congo, Rep.","Costa Rica","Côte d'Ivoire","Croatia","Cuba","Cyprus","Czech Republic","Denmark","Djibouti","Dominica","Dominican Republic","Ecuador","Egypt, Arab Rep.","El Salvador","Equatorial Guinea","Eritrea","Estonia","Ethiopia","Faeroe Islands","Fiji","Finland","France","French Polynesia","Gabon","Gambia, The","Georgia","Germany","Ghana","Gibraltar","Greece","Greenland","Grenada","Guam","Guatemala","Guinea","Guinea-Bissau","Guyana","Haiti","Honduras","Hong Kong, China","Hungary","Iceland","India","Indonesia","Iran, Islamic Rep.","Iraq","Ireland","Isle of Man","Israel","Italy","Jamaica","Japan","Jordan","Kazakhstan","Kenya","Kiribati","Korea, Dem. Rep.","Korea, Rep.","Kosovo","Kuwait","Kyrgyz Republic","Lao PDR","Latvia","Lebanon","Lesotho","Liberia","Libya","Liechtenstein","Lithuania","Luxembourg","Macao, China","Macedonia, FYR","Madagascar","Malawi","Malaysia","Maldives","Mali","Malta","Marshall Islands","Mauritania","Mauritius","Mayotte","Mexico","Micronesia, Fed. Sts.","Moldova","Monaco","Mongolia","Montenegro","Morocco","Mozambique","Myanmar","Namibia","Nepal","Netherlands","Netherlands Antilles","New Caledonia","New Zealand","Nicaragua","Niger","Nigeria","Northern Mariana Islands","Norway","Oman","Pakistan","Palau","Panama","Papua New Guinea","Paraguay","Peru","Philippines","Poland","Portugal","Puerto Rico","Qatar","Romania","Russian Federation","Rwanda","Samoa","San Marino","São Tomé and Principe","Saudi Arabia","Senegal","Serbia","Seychelles","Sierra Leone","Singapore","Slovak Republic","Slovenia","Solomon Islands","Somalia","South Africa","Spain","Sri Lanka","St. Kitts and Nevis","St. Lucia","St. Vincent and the Grenadines","Sudan","Suriname","Swaziland","Sweden","Switzerland","Syrian Arab Republic","Tajikistan","Tanzania","Thailand","Timor-Leste","Togo","Tonga","Trinidad and Tobago","Tunisia","Turkey","Turkmenistan","Turks and Caicos Islands","Tuvalu","Uganda","Ukraine","United Arab Emirates","United Kingdom","United States","Uruguay","Uzbekistan","Vanuatu","Venezuela, RB","Vietnam","Virgin Islands (U.S.)","West Bank and Gaza","Yemen, Rep.","Zambia","Zimbabwe","Other South","Other North","TOTAL"
"Afghanistan","","0.0","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","21968.324810747436","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1058.7205485944064","0.0","0.0","0.0","0.0","3.353039919058131","0.0","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42100.328287767","0.0","0.0","0.0","0.0","","25.699194686858316","","0.0","0.0","","0.0","0.0","0.0","0.0","0.0","7.020674745405929","211.12692289682636","12292.606451612903","0.0","0.0","9.026903453077427","75.95358260417278","0.0","0.0","0.0","","0.0","0.0","0.0","0.0","580.2168766356278","2958.3876523837976","0.0","0.0","0.0","0.0","79443.60488720406","","","566.6176538324908","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","606.4204452290711","0.0","8413.705772564306","0.0","1704198.8129984364","0.0","238.1274249030039","","0.0","1382.1993610769052","0.0","710.0984187040997","0.0","0.0","0.0","0.0","","0.0","","0.0","0.0","0.0","0.0","","0.0","0.0","0.0","0.0","22.096968598264553","1.195990168733258","0.0","0.0","0.0","0.0","0.0","","0.0","0.0","0.0","1.9724690400938238","0.0","","13.395979046079756","0.0","0.0","0.0","0.0","","","0.0","0.0","0.0","0.0","30986.45600968114","0.0","0.0","2346.2689601304314","33.90008831547825","0.0","0.0","0.0","4516.008436972876","0.0","","0.0","0.0","0.0","0.0","6.476275173561306","973.1161708185055","162.03979205988261","2.8201549721246653","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","17226.64180768952","0.0","","","0.0","0.0","168.0655748759694","0.0","0.0","","0.0","482.86650780285873","0.0","0.0","0.0","0.0","0.0","0.0","0.0","8504.43240323832","2222.0752682147963","0.0","56816.069440033876","0.0","0.0","0.0","0.0","0.0","0.0","0.0","10795.740182233252","0.0","","","0.0","0.0","0.0","61407.8336709567","61906.149837243545","0.0","0.0","0.0","8.938245558688408","","0.0","0.0","0.0","0.0","0.0","215649.49225606478","","2351104.4043968865"
"Albania","","0.0","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2627.7900491324685","2396.870934793104","0.0","0.0","0.0","0.0","0.0","0.0","1884.0958881157385","0.0","0.0","0.0","0.0","0.0","63.00572923790222","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","11984.595042791683","0.0","0.0","0.0","0.0","","47.971830082135526","","0.0","0.0","","0.0","0.0","0.0","0.0","106.8654432267687","245.7236160892075","179.81144629490473","272.09032258064514","0.0","0.0","31.594162085770996","99.06989035326885","0.0","0.0","0.0","","0.0","0.0","0.0","0.0","68.66471912847666","3036.989403640818","0.0","0.0","0.0","0.0","15964.323829827044","","","676846.2513027322","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","116.65639725392306","0.0","0.0","0.0","0.0","0.0","467.2689092436303","","0.0","522646.89650564536","0.0","55.63449149391094","0.0","0.0","0.0","0.0","","0.0","","0.0","0.0","0.0","0.0","","0.0","0.0","0.0","0.0","3.156709799752079","266.7058076275165","0.0","91128.4467984973","0.0","0.0","0.0","","0.0","0.0","0.0","0.0","0.0","","11.907536929848671","0.0","0.0","0.0","0.0","","","0.0","0.0","0.0","0.0","710.7444519891973","0.0","0.0","118.13382176880492","40.063740736474294","0.0","0.0","0.0","302.52166019013146","0.0","","0.0","20.634639511797022","0.0","0.0","15.111308738309713","725.1884839857652","61.90299013778211","57.813176928555635","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","0.0","0.0","28.32565868696113","195.4868464647803","0.0","","0.0","1847.1393894373625","0.0","0.0","0.0","0.0","0.0","0.0","0.0","652.0428435146382","1687.8793956540674","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3711.7359094789085","0.0","","","0.0","0.0","0.0","3065.03141970728","83017.50159819754","2.598553757087566","0.0","0.0","14.897075931147349","","0.0","0.0","0.0","0.0","0.0","11624.098598413932","","1438451.2383298338"
"Algeria","","0.0","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1261.339223583585","734.4828055363819","0.0","0.0","2310.8689543725163","0.0","0.0","0.0","21549.97054465565","0.0","0.0","0.0","0.0","13.412159676232523","0.0","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","37542.80622924058","0.0","0.0","9.43492020964852","0.0","","77.09758406057495","","0.0","0.0","","0.0","0.0","0.0","0.0","0.0","33.34820504067816","330.3277693170441","1187.0019193857966","0.0","0.0","94.78248625731298","66.0465935688459","1245.9011951503646","0.0","0.0","","0.0","0.0","0.0","0.0","769.0448542389387","913793.9671046034","0.0","0.0","0.0","0.0","21081.07383942692","","","377.7451025549938","","","0.0","0.0","0.0","0.0","0.0","0.0","2.610523305690592","0.0","610.276855055647","52.77554804231651","0.0","0.0","0.0","289.9580648460673","1945.45613175473","","47198.637578484406","29479.984867672247","0.0","154.76503997397043","2826.9155893981997","0.0","0.0","0.0","","0.0","","0.0","0.0","0.0","0.0","","0.0","0.0","0.0","0.0","3.156709799752079","405.4406672005744","0.0","0.0","3585.6557318382443","0.0","0.0","","614.9682363983559","0.0","0.0","2743.704434770509","0.0","","130.9829062283354","0.0","0.0","0.0","0.0","","","0.0","0.0","0.0","0.0","3833.014798122023","0.0","0.0","134.5412970144723","61.63652420996045","0.0","0.0","0.0","1215.9043649949517","0.0","","0.0","17.68683386725459","0.0","0.0","13.672136477518311","674.0533985765124","528.7614267217223","266.50464486578085","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","0.0","0.0","74.90563074996388","0.0","0.0","","0.0","63345.947833901126","0.0","0.0","0.0","0.0","418.6101883252004","0.0","0.0","2222.7631505684876","6748.150801906853","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","12175.564815302734","725.9899998014889","0.0","","","0.0","0.0","0.0","15612.161102785602","7306.22664998332","13.858953371133685","0.0","0.0","71.50596446950726","","0.0","0.0","0.0","0.0","0.0","3132.5989577023456","","1211117.9998493665"
"American Samoa","","0.0","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","208.79115143775363","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","50.392311372280815","0.0","0.0","0.0","0.0","","0.0","","0.0","0.0","","0.0","0.0","0.0","0.0","0.0","1.7551686863514822","24.244239949874796","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","0.0","0.0","0.0","165.25509808482593","0.0","1.1391558153191366","0.0","0.0","0.0","0.0","0.0","","","2.840188741014991","","","3.195185505211427","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","110.09980806142035","","0.0","","0.0","0.0","0.0","0.0","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","0.0","0.0","0.0","0.0","0.0","","0.0","0.0","0.0","0.0","0.0","","","0.0","0.0","0.0","0.0","2.1702289929843","0.0","0.0","549.521690022289","0.0","0.0","0.0","0.0","2.9088621172128026","0.0","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3003.342673479479","0.0","0.0","0.0","0.0","","","0.0","0.0","6.585024187046494","0.0","0.0","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","0.0","0.0","0.0","39.73679455108833","41101.4922321893","0.0","0.0","0.0","0.9931383954098232","","0.0","0.0","0.0","0.0","0.0","397.0272426144609","","45671.490194203325"
"Andorra","","0.0","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","14.913653674125259","1.3069089066483663","0.0","0.0","0.0","0.0","0.0","0.0","42.668838230505045","0.0","0.0","0.0","0.0","0.0","0.0","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","18.897116764605308","0.0","2.9362297375133712","0.0","0.0","","15.419516812114988","","0.0","0.0","","0.0","0.0","0.0","0.0","0.0","0.0","15.152649968671748","1.3397312859884838","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","0.0","0.0","0.0","0.0","1.7166179782119164","1403.4399644731761","0.0","0.0","0.0","0.0","72.19826092506416","","","5.680377482029982","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.8923073699319763","0.0","0.0","0.0","0.0","0.0","2.2464851405943764","","0.0","14.303097809826866","0.0","1.011536208980199","0.0","0.0","0.0","0.0","","0.0","","0.0","0.0","0.0","0.0","","0.0","0.0","0.0","0.0","0.0","2.391980337466516","0.0","0.0","0.0","0.0","0.0","","0.0","0.0","0.0","0.0","0.0","","4.465326348693251","0.0","0.0","0.0","0.0","","","0.0","0.0","0.0","0.0","6.5106869789529","0.0","0.0","3.2814950491334702","0.0","0.0","0.0","0.0","4.363293175819204","0.0","","0.0","4.421708466813648","0.0","0.0","3.597930651978503","0.0","0.0","592.2325441461797","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","0.0","0.0","0.0","0.0","0.0","","0.0","6170.941686082952","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.211975545566242","26.934245675330864","0.0","0.0","437.61146650573323","0.0","0.0","0.0","0.0","0.0","0.0","8.962839503722085","0.0","","","0.0","0.0","0.0","46.35959364293639","97.65467327347234","1.7323691713917106","0.0","0.0","3.9725535816392927","","0.0","0.0","0.0","0.0","0.0","58.12926618228463","162.1576519575749","9253.056579045631"
"Angola","","0.0","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","525.5580098264937","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3041.488125118188","0.0","0.0","0.0","0.0","6.706079838116262","0.0","","6378.893089081951","0.0","0.0","0.0","0.0","0.0","0.0","3544.739378853878","2393.4427046263345","2.9362297375133712","62.000904234833136","0.0","","101.0834991016427","","0.0","0.0","","10572.597827682372","0.0","0.0","0.0","0.0","0.0","136.37384971804573","156.74856046065258","0.0","0.0","27.08071035923228","59.44193421196131","0.0","0.0","0.0","","0.0","0.0","0.0","0.0","192.26121355973467","18906.082078026277","0.0","0.0","0.0","0.0","11742.367073152833","","","18.461226816597442","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","41.45640563569167","0.0","0.0","0.0","0.0","0.0","1318.6867775288988","","0.0","2120.7593207116015","0.0","7.080753462861392","0.0","0.0","0.0","0.0","","0.0","","0.0","0.0","0.0","0.0","","1.0373770491803278","0.0","0.0","0.0","0.0","423.3805197315733","0.0","0.0","0.0","0.0","0.0","","0.0","0.0","0.0","0.0","0.0","","49.11858983562577","0.0","0.0","0.0","0.0","","","0.0","0.0","67540.44935632742","0.0","6551.862589111684","0.0","0.0","26.251960393067762","10.786391736743079","0.0","0.0","0.0","189.07603761883217","0.0","","0.0","19.160736689525805","0.0","0.0","7.195861303957006","3140.9338825622776","28.81690920207098","245649.59884691896","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1842.9642857142858","0.0","0.0","","","0.0","0.0","75.53508983189634","0.0","0.0","","0.0","4646.044682341827","0.0","0.0","0.0","0.0","0.0","0.0","0.0","619.3195037843496","4772.972785715923","0.0","0.0","3063.280265540133","0.0","0.0","0.0","0.0","0.0","0.0","2.2407098759305213","0.0","","","0.0","0.0","0.0","11448.918142042774","5636.77607755739","8.661845856958553","0.0","0.0","118.18346905376896","","0.0","0.0","0.0","93496.43885669809","0.0","22867.74177206931","","533592.9922963093"
"Antigua and Barbuda","","0.0","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","32.53888074354602","0.0","0.0","7.113335107798775","0.0","0.0","0.0","0.0","2.6668023894065653","1.365989610692815","0.0","0.0","0.0","0.0","0.0","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2724.0361729123397","0.0","2.9362297375133712","0.0","0.0","","0.0","","0.0","0.0","","0.0","0.0","0.0","0.0","0.0","0.0","5.0508833228905825","1.3397312859884838","0.0","401.07060629316965","397.1837519354068","19.81397807065377","0.0","0.0","0.0","","0.0","0.0","0.0","0.0","1.7166179782119164","36.45298609021237","0.0","0.0","0.0","0.0","23.574942342878096","","","11.360754964059964","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","8.985940562377506","","0.0","44.20957504855576","0.0","5.057681044900995","0.0","0.0","0.0","0.0","","0.0","","0.0","0.0","0.0","0.0","","0.0","0.0","0.0","0.0","0.0","2.391980337466516","0.0","0.0","0.0","0.0","0.0","","0.0","0.0","0.0","0.0","0.0","","14.88442116231084","0.0","0.0","0.0","0.0","","","0.0","0.0","0.0","0.0","30.031455717853405","1238.6113600741737","0.0","6.5629900982669405","0.0","0.0","0.0","0.0","2.9088621172128026","0.0","","0.0","1.4739028222712158","0.0","0.0","14.391722607914012","7495.163882562278","1.0672929334100363","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","0.0","0.0","0.0","0.0","0.0","","0.0","15.883766704041404","0.0","188.33834222006786","204.70224284609435","65.0193487494101","0.0","0.0","0.0","9.695804364529936","26.934245675330864","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","0.0","0.0","0.0","5153.8622532761565","17610.918793321387","0.0","0.0","0.0","1.9862767908196464","","5293.039707847154","0.0","0.0","0.0","0.0","1065.9485254595577","","42170.29203712832"
"Argentina","","0.0","","0.0","223.69876714957306","0.0","0.0","0.0","0.0","0.0","14190.06626531533","1165.7627447303428","0.0","8.002501996273622","0.0","0.0","0.0","0.0","1834.760043911717","5.46395844277126","0.0","0.0","0.0","45423.6317834805","0.0","","27699.890478787886","0.0","0.0","0.0","0.0","0.0","0.0","21093.81856973145","0.0","17.617378425080226","0.0","0.0","","82538.96021560575","","2570.3874431714853","0.0","","0.0","0.0","0.0","211.107753090205","164.25614421892226","75.47225351311373","312.144589354638","1302.2188099808063","0.0","0.0","3940.2433572682967","7393.916150032299","0.0","207.1604634361705","0.0","","0.0","0.0","0.0","0.0","269.5090225792709","11151.196276159028","0.0","0.0","0.0","0.0","7391.2155687299955","","","414.6675561881887","","","0.0","431.95154705199536","0.0","0.0","0.0","52.449","118.34372319130684","0.0","248.73843381414997","40.59657541716654","0.0","0.0","0.0","0.0","545.8958891644335","","48312.044386026995","16243.117985487019","0.0","3893.4028683647857","0.0","0.0","0.0","0.0","","0.0","","0.0","0.0","0.0","0.0","","0.0","0.0","0.0","0.0","46.08796307638035","138.73485957305792","0.0","0.0","0.0","0.0","0.0","","0.0","0.0","0.0","114.40320432544178","0.0","","9508.168238484164","0.0","0.0","0.0","0.0","","","0.0","0.0","0.0","0.0","2643.769151695028","52.68195765910947","0.0","994.2929998874415","226.51422647160464","0.0","0.0","0.0","826.1168412884359","0.0","","0.0","1154.065909838362","0.0","59115.446749107155","2997.0762330980933","818.1613665480428","188.91084921357643","1465.0705080187636","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","0.0","0.0","114.56155291170947","0.0","0.0","","0.0","331173.1032426763","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3220.2190245695047","5705.571042224255","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","157.97004625310174","0.0","","","0.0","0.0","0.0","9001.708525639877","163353.1986334116","22742.542482030378","0.0","0.0","8533.045093361201","","0.0","0.0","0.0","0.0","0.0","33406.71459572066","","957189.8438009002"
"Armenia","","0.0","","0.0","0.0","0.0","0.0","46.35648719923757","0.0","0.0","1156.227621618286","589.4159168984133","42596.01283594064","0.0","0.0","0.0","0.0","6074.06272353335","1153.3920334183395","0.0","0.0","0.0","0.0","1.6765199595290654","0.0","","0.0","0.0","0.0","0.0","0.0","2.3045868159920944","0.0","2555.2390596335836","0.0","0.0","0.0","0.0","","17.132796457905542","","0.0","0.0","","12.010903524774067","0.0","0.0","0.0","0.0","1037.304693633726","931.3828847410234","743.5508637236085","0.0","0.0","9.026903453077427","52.83727485507672","0.0","0.0","0.0","","0.0","0.0","0.0","0.0","147.6291461262248","14481.254357637148","0.0","0.0","0.0","17769.48689092258","15514.534708035533","","","8769.11623144637","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","75.1999916182314","0.0","0.0","0.0","1374.962120571237","0.0","134.7891084356626","","16509.340460037412","553.9199697260223","0.0","32.369158687366365","0.0","7356.738571797521","0.0","0.0","","0.0","","0.0","0.0","0.0","3163.506053790936","","0.0","0.0","0.0","0.0","431.20655864613394","7.175941012399548","0.0","0.0","0.0","0.0","0.0","","0.0","0.0","0.0","1.9724690400938238","0.0","","75.91054792778527","0.0","0.0","0.0","0.0","","","0.0","0.0","0.0","0.0","1911.9717428191684","0.0","0.0","36.096445540468174","0.0","0.0","0.0","0.0","167.25957173973617","0.0","","0.0","5.895611289084863","0.0","0.0","0.7195861303957006","0.0","1941.2793509279359","77.55426173342829","0.0","0.0","0.0","493125.91564473446","0.0","0.0","0.0","0.0","0.0","0.0","","","0.0","0.0","164.28882038437456","0.0","0.0","","0.0","12387.917998693938","0.0","0.0","0.0","0.0","0.0","0.0","0.0","888.3780749000554","473.59381979123435","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","890.6821756823822","7247.606189635477","","","0.0","53192.766150528296","0.0","789.4376517482883","77207.83132802637","214.81377725257212","0.0","0.0","27.80787507147505","","0.0","0.0","0.0","0.0","0.0","76329.37893133365","","870458.241398828"
"Aruba","","0.0","","0.0","0.0","0.0","3.5474192728197305","0.0","0.0","0.0","52.87568120826228","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","6.706079838116262","0.0","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","818.8750597995632","0.0","0.0","0.0","0.0","","5.139838937371663","","247.71193853427894","0.0","","0.0","0.0","0.0","0.0","0.0","0.0","1.0101766645781165","0.0","0.0","0.0","491.9662381927198","0.0","0.0","0.0","0.0","","0.0","0.0","0.0","0.0","0.0","11.391558153191365","0.0","0.0","0.0","0.0","0.0","","","36.922453633194884","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.5130559756393143","0.0","0.0","0.0","0.0","0.0","11.232425702971883","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","0.0","","0.0","0.0","0.0","0.0","","0.0","0.0","0.0","0.0","0.0","1.2143678322070492","0.0","0.0","0.0","0.0","0.0","","0.0","0.0","0.0","0.0","0.0","","11.907536929848671","0.0","0.0","0.0","0.0","","","0.0","0.0","0.0","0.0","1031.9438861640347","3776.711009073048","0.0","12.395226090728325","0.0","0.0","0.0","0.0","11.63544846885121","0.0","","0.0","14.739028222712157","0.0","0.0","0.0","83.67559430604983","0.0","18.331007318810325","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","0.0","0.0","0.0","0.0","0.0","","0.0","0.0","0.0","0.0","31.492652745552977","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.481419751861043","0.0","","","0.0","0.0","0.0","0.0","6248.662954397501","0.0","0.0","0.0","387.323974209831","","0.0","0.0","0.0","0.0","0.0","156.00425910101222","228.19801913258118","13708.608309657337"
