"Bilateral Remittance Estimates for 2010 using Migrant Stocks, Host Country Incomes, and Origin Country Incomes (millions of US$) (May 2013 Version)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remittance-receiving country (across)                                                              -                                                 Remittance-sending country (down) ","Afghanistan","Albania","Algeria","American Samoa","Andorra","Angola","Antigua and Barbuda","Argentina","Armenia","Aruba","Australia","Austria","Azerbaijan","Bahamas, The","Bahrain","Bangladesh","Barbados","Belarus","Belgium","Belize","Benin","Bermuda","Bhutan","Bolivia","Bosnia and Herzegovina","Botswana","Brazil","Brunei Darussalam","Bulgaria","Burkina Faso","Burundi","Cambodia","Cameroon","Canada","Cape Verde","Cayman Islands","Central African Republic","Chad","Channel Islands","Chile","China","Colombia","Comoros","Congo, Dem. Rep.","Congo, Rep.","Costa Rica","Côte d'Ivoire","Croatia","Curaçao","Cuba","Cyprus","Czech Republic","Denmark","Djibouti","Dominica","Dominican Republic","Ecuador","Egypt, Arab Rep.","El Salvador","Equatorial Guinea","Eritrea","Estonia","Ethiopia","Faeroe Islands","Fiji","Finland","France","French Polynesia","Gabon","Gambia, The","Georgia","Germany","Ghana","Greece","Greenland","Grenada","Guam","Guatemala","Guinea","Guinea-Bissau","Guyana","Haiti","Honduras","Hong Kong SAR, China","Hungary","Iceland","India","Indonesia","Iran, Islamic Rep.","Iraq","Ireland","Isle of Man","Israel","Italy","Jamaica","Japan","Jordan","Kazakhstan","Kenya","Kiribati","Korea, Dem. Rep.","Korea, Rep.","Kosovo","Kuwait","Kyrgyz Republic","Lao PDR","Latvia","Lebanon","Lesotho","Liberia","Libya","Liechtenstein","Lithuania","Luxembourg","Macao SAR, China","Macedonia, FYR","Madagascar","Malawi","Malaysia","Maldives","Mali","Malta","Marshall Islands","Mauritania","Mauritius","Mexico","Micronesia, Fed. Sts.","Moldova","Monaco","Mongolia","Montenegro","Morocco","Mozambique","Myanmar","Namibia","Nepal","Netherlands","New Caledonia","New Zealand","Nicaragua","Niger","Nigeria","Northern Mariana Islands","Norway","Oman","Pakistan","Palau","Panama","Papua New Guinea","Paraguay","Peru","Philippines","Poland","Portugal","Puerto Rico","Qatar","Romania","Russian Federation","Rwanda","Samoa","San Marino","São Tomé and Principe","Saudi Arabia","Senegal","Serbia","Seychelles","Sierra Leone","Singapore","Sint Maarten (Dutch part)","Slovak Republic","Slovenia","Solomon Islands","Somalia","South Africa","Spain","Sri Lanka","St. Kitts and Nevis","St. Lucia","St. Martin (French part)","St. Vincent and the Grenadines","Sudan","Suriname","Swaziland","Sweden","Switzerland","Syrian Arab Republic","Tajikistan","Tanzania","Thailand","Timor-Leste","Togo","Tonga","Trinidad and Tobago","Tunisia","Turkey","Turkmenistan","Turks and Caicos Islands","Tuvalu","Uganda","Ukraine","United Arab Emirates","United Kingdom","United States","Uruguay","Uzbekistan","Vanuatu","Venezuela, RB","Vietnam","Virgin Islands (U.S.)","West Bank and Gaza","Yemen, Rep.","Zambia","Zimbabwe","Total"
"Afghanistan","0.0","0.0","0.0","","","0.0","0.0","0.0","0.0","","0.0","0.0","0.0","","","0.0","0.0","0.0","0.0","0.0","0.0","","0.0","0.0","0.0","0.0","0.0","","0.0","0.0","0.0","0.0","0.0","","0.0","","","","","0.0","0.0","0.0","","","","0.0","0.0","0.0","","","0.0","0.0","0.0","","0.0","0.0","0.0","0.0","0.0","","","0.0","0.0","","0.0","0.0","0.0","","","0.0","0.0","0.0","0.0","0.0","","0.0","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","0.0","","","0.0","0.0","0.0","0.0","0.0","0.0","","","0.0","0.0","0.0","0.0","","0.0","0.0","0.0","0.0","0.0","","","0.0","0.0","","0.0","","0.0","0.0","0.0","0.0","","0.0","0.0","0.0","","0.0","0.0","0.0","0.0","","0.0","0.0","0.0","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","0.0","0.0","0.0","0.0","","0.0","0.0","0.0","0.0","0.0","0.0","","","0.0","0.0","0.0","","0.0","0.0","0.0","0.0","0.0","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","0.0","0.0","0.0","0.0","0.0","","","","0.0","0.0","","0.0","0.0","0.0","","0.0","0.0","0.0","","","0.0","0.0","","0.0"
"Albania","0.0","0.0","0.0","","","0.0","0.0","0.0","0.0","","0.0","0.0","0.0","","","0.0","0.0","0.0","0.0","0.0","0.0","","0.0","0.0","0.0","0.0","0.0","","0.0","0.0","0.0","0.0","0.0","","0.0","","","","","0.0","0.0","0.0","","","","0.0","0.0","0.0","","","0.0","5.75388240814209","0.0","","0.0","0.0","0.0","0.0","0.0","","","0.0","0.0","","0.0","0.0","0.0","","","0.0","0.0","0.0","0.0","96.6810836791992","","0.0","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","0.136825412511826","0.139431774616241","0.0","0.0","0.0","0.0","0.0","","","0.0","","","0.0","0.0","0.0","0.0","0.0","0.0","","","0.0","0.0","0.0","4.78676462173462","","0.0","0.0","0.0","0.0","0.0","","","0.0","0.0","","0.0","","0.0","0.0","0.0","0.0","","0.0","0.0","0.0","","0.0","0.0","0.0","0.0","","0.0","0.0","0.0","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","0.0","0.0233293306082487","0.0","0.0","","0.0","0.0","0.0","0.0","0.0","0.0","","","0.0","0.0","0.0","","0.0","0.0","0.0","0.0","0.0","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","0.0","0.0","0.0","0.0","0.0","","","","0.0","0.0","","0.0","0.0","0.0","","0.0","0.0","0.0","","","0.0","0.0","","107.52131722681223"
"Algeria","0.0","0.0","0.0","","","0.0","0.0","0.0","0.0","","0.0","0.0","0.0","","","0.0","0.0","0.0","0.0","0.0","0.0","","0.0","0.0","0.0","0.0","0.0","","0.0","0.0","0.0","0.0","0.0","","0.0","","","","","0.0","0.0","0.0","","","","0.0","0.0","0.0","","","0.0","0.0","0.0","","0.0","0.0","0.0","0.0","0.0","","","0.0","0.0","","0.0","0.0","0.0","","","0.0","0.0","0.0","0.0","0.0","","0.0","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","0.0","","","0.0","0.0","0.0","0.0","0.0","0.0","","","0.0","0.0","0.0","0.0","","0.0","0.0","0.0","0.0","0.0","","","0.0","0.0","","0.0","","0.0","0.0","0.0","0.0","","0.0","0.0","0.0","","0.0","0.0","0.0","0.0","","0.0","0.0","0.0","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","0.0","0.0","0.0","0.0","","0.0","0.0","0.0","0.0","0.0","0.0","","","0.0","0.0","0.0","","0.0","0.0","0.0","0.0","0.0","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","0.0","0.0","0.0","0.0","0.0","","","","0.0","0.0","","0.0","0.0","0.0","","0.0","0.0","0.0","","","0.0","0.0","","0.0"
"American Samoa","0.0","0.0","0.0","","","0.0","0.0","0.0","0.0","","0.0","0.0","0.0","","","0.0","0.0","0.0","0.0","0.0","0.0","","0.0","0.0","0.0","0.0","0.0","","0.0","0.0","0.0","0.0","0.0","","0.0","","","","","0.0","0.91234278678894","0.0","","","","0.0","0.0","0.0","","","0.0","0.0","0.0","","0.0","0.0","0.0","0.0","0.0","","","0.0","0.0","","0.0989353954792023","0.0","0.0","","","0.0","0.0","0.0","0.0","0.0","","0.0","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","0.84513384103775","","","0.0","0.0","0.0","0.0","0.0","0.0","","","0.0","0.0","0.0","0.0","","0.0","0.0","0.0","0.0","0.0","","","0.0","0.0","","0.0","","0.0","0.0","0.0","0.0","","0.0","0.0","0.0","","0.345205456018448","0.0","0.0","0.0","","0.0","0.0","0.0","","0.0","0.0","0.0","0.0","2.34359431266785","0.0","0.0","","","0.0","0.0","0.0","14.2624025344849","","0.0","0.0","0.0","0.0","0.0","0.0","","","0.0","0.0","0.0","","0.0","0.0","0.0","0.0","0.0","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","0.0","1.34189283847809","0.0","0.0","0.0","","","","0.0","0.0","","0.0","8.93716907501221","0.0","","0.0","0.0","0.472668945789337","","","0.0","0.0","","29.559345185756726"
"Andorra","0.0","0.0","0.0","","","0.0","0.0","0.139125198125839","0.0","","0.211732447147369","0.0","0.0","","","0.0","0.0","0.0","7.45438051223755","0.0","0.0","","0.0","0.0","0.0","0.0","0.0","","0.0","0.0","0.0","0.0","0.0","","0.0","","","","","0.000386087747756392","0.0","0.0","","","","0.0","0.0","0.0","","","0.0","0.0","0.0","","0.0","0.0","0.0","0.0","0.0","","","0.0","0.0","","0.0","0.0","55.8365516662598","","","0.0","0.0","1.74883008003235","0.0","0.0","","0.0","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.547793984413147","0.0","0.0","0.0","0.0","","0.0","0.405009686946869","0.0","0.0","0.0","0.0","0.0","","","0.0","","","0.0","0.0","0.0","0.0","0.0","0.0","","","0.0","0.0","0.0","0.0","","0.0","0.0","0.0","0.0","0.0","","","0.0","0.0","","0.0","","0.0","0.0","0.900485098361969","0.0","","0.0","0.0","0.64602142572403","","0.0","0.0","0.0","0.0","","0.0","0.0","0.0","","0.0","0.0","0.0","0.0","1.27814424037933","0.0","13.9869813919067","","","0.0","0.0","0.0","0.0","","0.0","0.0","0.0","0.0","0.0","0.0","","","0.0","0.0","0.0","","0.0","263.848999023438","0.0","0.0","0.0","","0.0","0.0","0.0","0.0","0.149405747652054","0.697185158729553","0.0","0.0","0.0","0.0","","0.0","0.0","0.0","0.0","0.0","","","","0.0","0.0","","1.98786985874176","0.256598085165024","0.0275051761418581","","0.0","0.0","0.0","","","0.0","0.0","","350.123004869151"
"Angola","0.0","0.0","0.0","","","0.0","0.0","0.0","0.0","","0.0","0.0","0.0","","","0.0","0.0","0.0","0.0","0.0","0.0","","0.0","0.0","0.0","0.0","0.0","","0.0","0.0","0.0","0.0","0.0","","6.7422924041748","","","","","0.0","0.0","0.0","","","","0.0","0.0","0.0","","","0.0","0.0","0.0","","0.0","0.0","0.0","0.0","0.0","","","0.0","0.0","","0.0","0.0","0.0","","","0.0","0.0","0.0","0.0","0.0","","0.0","","0.0","0.0591090358793736","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","0.0","","","0.0","0.0","0.0","0.0","0.0","0.0","","","0.0","0.0","0.0","0.0","","0.0","0.0","0.0","0.0","0.0","","","0.0","0.0","","0.0","","0.0","0.0","0.0","0.0","","0.0","0.0","0.0","","0.0","0.0","0.0","0.0","","0.0","0.0","0.0","","0.0","0.0","0.0","0.0","0.0","0.0","30.4595928192139","","","0.0","0.0","0.0","0.0","","1.54891705513","0.0","0.0","0.0","0.0","0.0","","","0.0","0.0","0.0","","0.0","0.0","0.0","0.0","0.0","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","0.0","0.0","0.0","0.0","0.0","","","","0.0","0.0","","0.0","0.0","0.0","","0.0","0.0","0.0","","","0.0","0.0856478065252304","","38.8955591209233"
"Antigua and Barbuda","0.0","0.0","0.0","","","0.0","0.0","0.0","0.0","","0.0191157516092062","0.0","0.0","","","0.0","0.159195795655251","0.0","0.0","0.0129915745928884","0.0","","0.0","0.0","0.0","0.0","0.0","","0.0","0.0","0.0","0.0","0.0","","0.0","","","","","0.0","0.053374070674181","0.0","","","","0.0","0.0","0.0","","","0.0","0.0","0.0983608290553093","","1.2056280374527","3.86963629722595","0.0","0.117599546909332","0.0","","","0.0","0.0352378748357296","","0.0","0.0541563183069229","0.537372708320618","","","0.0","0.0","0.0323422327637672","0.00411381851881742","0.0","","0.0995183140039444","","0.0138864768669009","0.0","0.0","3.2545177936554","0.0279444754123688","0.0197216887027025","0.0","0.0","0.0","0.256547898054123","0.0","0.0","0.0","0.0","","0.0","0.0237597431987524","4.98423624038696","0.0529492571949959","0.0","0.0","0.0","","","0.0","","","0.0","0.0","0.0","0.0760104581713676","0.0","0.0","","","0.0","0.0","0.0","0.0","","0.0","0.0","0.0","0.0","0.0","","","0.0","0.0586360096931458","","0.0","","0.0","0.0","0.0","0.0","","0.0","0.0","0.0122203668579459","","0.0116456113755703","0.0","0.0","0.618260145187378","","0.0688487440347672","0.0","0.0","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","0.0","0.0","0.0","0.0","","0.0","0.0","0.0","0.0","0.0","0.0","","","0.0","0.0","0.0","","0.1268190741539","0.0133998487144709","0.0","0.536742568016052","0.364049255847931","","0.507831275463104","0.0","0.000275777711067349","0.0","0.0779925808310509","0.0","0.046345517039299","0.0","0.0","0.0","","0.0","0.0","0.126993030309677","0.0","0.0","","","","0.0","0.0","","1.15857040882111","4.2355785369873","0.0","","0.0","0.00796384178102016","0.0","","","0.0","0.0","","22.980389794392977"
"Argentina","0.0","0.0","0.0","","","0.0","0.0","0.0","0.0511423088610172","","0.0","0.0","0.0989428609609604","","","0.0","0.0","0.0455195531249046","0.0","0.0","0.0","","0.0","277.363067626953","0.657847106456757","0.0","86.7921600341797","","0.0","0.0","0.0","0.0","0.0","","0.0","","","","","0.955554604530334","21.0376014709473","0.0","","","","0.0","0.0","0.936854004859924","","","0.0","0.0","0.0","","0.0","0.0","0.0","0.0","0.0","","","0.037718515843153","0.0","","0.0","0.0","59.8536796569824","","","0.0","0.0551289282739162","35.7499580383301","0.0","0.0","","0.0","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","0.0","392.347259521484","0.0","10.3256225585938","0.0","0.0172066632658243","0.0","","","31.3637027740479","","","0.119259439408779","0.0","0.0752173662185669","16.0383987426758","0.0","0.0","","","0.186260238289833","0.0","0.0","0.191567987203598","","0.0","0.0","0.0","0.0","0.0","","","0.0","0.0","","0.101896785199642","","0.0","0.0","0.0","0.0","","0.0","0.0","0.0","","0.0","0.0","0.0","0.0","","0.0","0.0","0.0","","0.0","0.0","387.072570800781","173.450012207031","0.0","29.0301971435547","0.0","","","0.0","0.947205066680908","0.0","0.0","","0.0","0.0","0.0","0.0","0.0","0.0","","","0.0","0.594835519790649","0.0","","0.0","960.695922851563","0.0","0.0","0.0","","0.0","0.0","0.0","0.0","0.0","0.0","4.66353511810303","0.233277902007103","0.0","0.0","","0.0","0.0","0.0","0.0","0.0","","","","0.0","0.579573154449463","","0.0","0.0","30.6961002349854","","0.0","0.0","0.0","","","0.0","0.0","","2522.3647967856373"
"Armenia","0.0","0.0","0.0","","","0.0","0.0","0.0","0.0","","0.0","0.0","152.252334594727","","","0.0","0.0","0.0","0.0","0.0","0.0","","0.0","0.0","0.0","0.0","0.0","","0.0","0.0","0.0","0.0","0.0","","0.0","","","","","0.0","0.0","0.0","","","","0.0","0.0","0.0","","","0.0","0.0","0.0","","0.0","0.0","0.0","0.0","0.0","","","0.0","0.0","","0.0","0.0","0.0","","","0.0","48.0406837463379","4.52697944641113","0.0","4.02125835418701","","0.0","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","13.6895427703857","0.0","0.0","","0.0","0.0","0.0","0.0","0.0","0.108086191117764","0.0","","","0.0","","","0.0","0.0","0.0","21.8152694702148","0.0","0.0","","","0.0","0.0","0.0","0.0","","0.0","0.0","0.0","0.0","0.0","","","0.0","0.0","","0.0","","0.0","0.0","0.0","0.0","","0.0","0.0","0.0","","0.0","0.0","0.0","0.0","","0.0","0.0","0.0","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","0.0","15.5524349212646","0.0","0.0","","0.0","0.0","0.0","0.0","0.0","0.0","","","0.0","0.0","0.0","","0.0","0.0","0.0","0.0","0.0","","0.0","0.0","0.0","0.0","0.0","0.0","10.8121671676636","0.0","0.0","0.0","","0.0","0.0","0.0","0.0","0.771028578281403","","","","0.0","3.53223752975464","","0.0","0.0","0.0","","0.0","0.0","0.0","","","0.0","0.0","","275.1220227703455"
"Aruba","0.0","0.0","0.0","","","0.0","0.0","0.0","0.0","","0.0","0.0","0.0","","","0.0","0.0","0.0","0.0","0.0","0.0","","0.0","0.0","0.0","0.0","0.0","","0.0","0.0","0.0","0.0","0.0","","0.0","","","","","0.0","0.0","19.1485862731934","","","","0.0","0.0","0.0","","","0.0","0.0","0.0","","0.011665316298604","11.3841876983643","0.0","0.0","0.0","","","0.0","0.0","","0.0","0.0","0.0","","","0.0","0.0","0.0","0.0","0.0","","0.0","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","0.0","","","0.0","0.0","0.0","0.0","0.0","0.0","","","0.0","0.0","0.0","0.0","","0.0","0.0","0.0","0.0","0.0","","","0.0","0.0","","0.0","","0.0","0.0","0.0","0.0","","0.0","0.0","0.0","","0.0","0.0","0.0","0.0","","0.0","0.0","0.0","","0.0","0.0","0.0","0.0","0.0","0.0","0.281157970428467","","","0.0","0.0","0.0","0.0","","0.0","0.0","0.0","0.0","0.0","0.0","","","0.0","0.0","0.0","","0.0","0.0","0.0","0.0","0.0","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","0.0","0.0","0.0","0.0","0.0","","","","0.0","0.0","","0.0","2.76086807250977","0.0","","0.0","1.22670555114746","0.0","","","0.0","0.0","","34.813170881942"
