"Bilateral Remittance Estimates for 2013 using Migrant Stocks, Host Country Incomes, and Origin Country Incomes (millions of US$) (April 2015 Version)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remittance-receiving country (across)                                                              -                                                 Remittance-sending country (down) ","Afghanistan","Albania","Algeria","American Samoa","Andorra","Angola","Antigua and Barbuda","Argentina","Armenia","Aruba","Australia","Austria","Azerbaijan","Bahamas, The","Bahrain","Bangladesh","Barbados","Belarus","Belgium","Belize","Benin","Bermuda","Bhutan","Bolivia","Bosnia and Herzegovina","Botswana","Brazil","Brunei Darussalam","Bulgaria","Burkina Faso","Burundi","Cabo Verde","Cambodia","Cameroon","Canada","Cayman Islands","Central African Republic","Chad","Channel Islands","Chile","China","Colombia","Comoros","Congo, Dem. Rep.","Congo, Rep.","Costa Rica","Cote d'Ivoire","Croatia","Cuba","Curacao","Cyprus","Czech Republic","Denmark","Djibouti","Dominica","Dominican Republic","Ecuador","Egypt, Arab Rep.","El Salvador","Equatorial Guinea","Eritrea","Estonia","Ethiopia","Faeroe Islands","Fiji","Finland","France","French Polynesia","Gabon","Gambia, The","Georgia","Germany","Ghana","Greece","Greenland","Grenada","Guam","Guatemala","Guinea","Guinea-Bissau","Guyana","Haiti","Honduras","Hong Kong SAR, China","Hungary","Iceland","India","Indonesia","Iran, Islamic Rep.","Iraq","Ireland","Isle of Man","Israel","Italy","Jamaica","Japan","Jordan","Kazakhstan","Kenya","Kiribati","Korea, Dem. Rep.","Korea, Rep.","Kosovo","Kuwait","Kyrgyz Republic","Lao PDR","Latvia","Lebanon","Lesotho","Liberia","Libya","Liechtenstein","Lithuania","Luxembourg","Macao SAR, China","Macedonia, FYR","Madagascar","Malawi","Malaysia","Maldives","Mali","Malta","Marshall Islands","Mauritania","Mauritius","Mexico","Micronesia, Fed. Sts.","Moldova","Monaco","Mongolia","Montenegro","Morocco","Mozambique","Myanmar","Namibia","Nepal","Netherlands","New Caledonia","New Zealand","Nicaragua","Niger","Nigeria","Northern Mariana Islands","Norway","Oman","Pakistan","Palau","Panama","Papua New Guinea","Paraguay","Peru","Philippines","Poland","Portugal","Puerto Rico","Qatar","Romania","Russian Federation","Rwanda","Samoa","San Marino","Sao Tome and Principe","Saudi Arabia","Senegal","Serbia","Seychelles","Sierra Leone","Singapore","Sint Maarten (Dutch part)","Slovak Republic","Slovenia","Solomon Islands","Somalia","South Africa","South Sudan","Spain","Sri Lanka","St. Kitts and Nevis","St. Lucia","St. Martin (French part)","St. Vincent and the Grenadines","Sudan","Suriname","Swaziland","Sweden","Switzerland","Syrian Arab Republic","Tajikistan","Tanzania","Thailand","Timor-Leste","Togo","Tonga","Trinidad and Tobago","Tunisia","Turkey","Turkmenistan","Turks and Caicos Islands","Tuvalu","Uganda","Ukraine","United Arab Emirates","United Kingdom","United States","Uruguay","Uzbekistan","Vanuatu","Venezuela, RB","Vietnam","Virgin Islands (U.S.)","West Bank and Gaza","Yemen, Rep.","Zambia","Zimbabwe","World"
"Afghanistan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75.8709255981249","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","103.23611990105769","","","","","","","","","","","","","","","","","","","","","","","","","","","179.1070454991826"
"Albania","","","","","","","","","","","","","","","","","","","","","","","","","28.731126934444152","","","","","","","","","","0.06269728399466856","","","","","","","","","","","","","21.02448263096412","","","","","","","","","","1.8097336532355723","","","","","","","","","0.681821426066131","","","","","0.8643801994960008","","61.983326018830155","","","","","","","","","","","4.950972475474119","","","","","","","","","2.583536123240304","","","","","","","","","","","","","","","","","","","","","","2.4429976408106953","","","","","","","","","","","","","","","8.154112981083001","","","","","","","","","","","","","","","","","","","","","","","","","","","0.2840552495937004","","","","","","","93.4232684333052","","","","","","2.698032076592901","","","","","","","","","","","","","","","","","","","","","","","","","0.48982376820231244","","","","","","","","2.251586531892414","","","","","","","","","","","232.43595342722546"
"Algeria","","","","","","","","","","","0.8399780350827085","0.8798923937840878","","","","0.39893674565389686","","0.12173748094795694","3.0709965973699194","","","","","","","","","","","","","","","","0.5598602542622516","","","","","","3.534436007632215","","1.5768350363097567","","","","0.0575429665875678","","","","","","0.7777059711248564","0.6614746906223891","","","","","0.3166257760578461","","","","0.21107694686529577","","","0.6141844108074173","13.119184680858659","","","","","5.917971453566918","0.019464094104280686","0.44658565132782635","","","","","","","","","","","","","4.14466745620133","4.464162542236153","","1.6478983562640714","","","","3.6985883228661773","","0.5115484515895131","17.418524288662624","0.009344264214172405","","","","0.3822668275004196","","0.030411973919719493","","","","21.25709317571728","","","","","","","","","","","1.3094330930923543","","","","","","","","","","","","","2.0421248024823813","","","","","0.6146137889357858","","","","","10.402858598000588","","","0.6103253984242643","0.9853102659461884","","","","","","3.4183305265758355","0.2537005136899902","","","9.097220342199206","0.12505550900964232","0.9807830399061458","","","","","7.249740891732402","0.6707280702890849","","","","","","","","","","0.15313838821530998","","1.228502336417237","","","","","","0.7018747803963301","","","1.8607065555845903","0.8307211830394556","2.1918667526653404","0.8943098908894289","","3.094916456704314","","","","","2.015644451308102","0.18691515917869028","","","","","0.3068641669667261","","0.5245923224862028","4.642708003789429","","","","","","","25.853685090690696","8.237660297820529","","","177.1733255285735"
"American Samoa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.456617533812761","","","","","","","","","","","","","","","","","","","","","","","","0.3956001997239419","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0073572372495334","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.6000563403794955","","","","","","","","","","","","","5.604910140692207","","","","","","","","36.2935459259779","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.9568791502420932","","","","","","","","","","","7.598311732977782","","","","","0.9721804343339688","","","","","","59.88545869538969"
"Andorra","","","","","","","","0.4027362325634301","","","0.3110553161045515","","","","","","","","4.173952773451415","","","","","","","","","","","","","","","","","","","","","0.00010257787493498152","","","","","","","","","","","","","0.4819163915286169","","","","","","","","","","","","","","50.01164688512651","","","","","1.2966587748234173","","","","","","","","","","","","","","","0.48196008035874105","","","","","","","1.1763240328941342","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.1567570266075289","","","","","0.3514157313132147","","","","","","","","","","","","","","","1.6862544796401853","","25.993913528563503","","","","","","","","","","","","","","","","","","","","","","178.5041484965094","","","","","","","","","0.5169473731032361","0.29953888811518836","","","","","","","","","","","","","","","","","0.32782427314919416","0.18181825515750952","0.040791439277415555","","","","","","","","","","267.39576255616214"
"Angola","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.673735806098102","","","","","","","","","","","","0.867721372683853","","","0.014377115051649255","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.07153128902789747","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.060917613039434076","","0.0656034622754636","","","","","","","","","","","","","","","","","","","26.05717110477838","","","","","0.6037917383805202","","","4.320604559080316","","","","","","","","","","","","6.10266215901362","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.057822160988362944","","44.895938380417604"
"Antigua and Barbuda","","","","","","","","","","0.0020951228828875066","0.03520866015316742","","","","","","0.2165234079175323","","","0.012179903907362356","","1.1763614872028811","","","","","","","","","","","","","0.372651462616199","","","","","","0.7482177540773719","","","","","","","","","0.005986886296204543","","","","","1.362033443052578","5.014280034867568","","0.045210884150700785","","","","","0.8280380935052711","","","","0.505488298635235","","","","","0.31845586297221085","0.0048644335133057335","","","0.08543360902869569","","","","","3.774277658903243","0.03465492360834004","0.025998469190623593","","","","0.33858721144547693","","","","","","","0.18418272940248798","6.491349703653721","0.045878784895920455","","","","","","","","","","","","0.4948695450600168","","","","","","","","","","","","","","","","","","0.007694526787461324","","","","","","","","","","","0.025022444333263547","","0.007004548720383216","","","0.745412920363546","","","","","","","","","","","","","","","","","","","","","","","","","","","0.028483651293168852","","","","","0.05128514348046294","","0.091565391534204","","0.8336091969785104","0.34008078158804134","","0.428269413020528","","0.0012611157179942397","","","","0.09495376193424465","","","","","","","0.22090476689432903","","","","","","","","","0.31651927801315716","5.410150173814731","","","","0.006901090280518524","","","","","","","30.73194657569354"
"Argentina","0.0008943000859715705","0.06137885713353024","0.21343136543413396","","","7.174505914137934e-06","","","2.460638543284388","","5.930144331512056","8.804192754570126","0.001312807120381578","","","0.08077421473676236","0.01663401497923785","0.05133963340511673","25.14122547713507","0.009917481456366166","0.0011463829787088668","","0.00014579532341183369","616.3271126468027","0.006321732815268064","0.003158339664608261","67.01690325908504","","0.37714634101061384","0.0019016017333427723","0.0005112083960758239","0.061948500146033085","0.007909690685013106","0.03172789751827515","1.8208704168592476","","","","","0.09491793946336514","85.34178406623433","78.27894182867175","","0.00015325808526513428","","2.5879628511499284","0.015493885788393962","2.2070690696444952","","","0.17758170493400743","2.79709914339416","1.973826850691156","","0.0037505648166539034","29.411530500238143","20.344881635635705","1.2146596138505739","1.0021562335512464","","","0.4463391597881164","0.017397154545528867","","0.0017225666972920624","0.5874807407723123","115.05148787774525","","","0.0041142252616052895","0.15316914187825117","39.20040027538881","0.014963715813543754","1.1908950702075367","","0.0013370748447686994","","2.093388832711505","0.007515150242659404","0.002906238741398742","0.005242387553460956","0.3058602686617767","1.0146737715004273","0.01555558970665597","6.627119629333065","0.11592501273776601","7.038907822801525","0.15165193429454732","0.15077235365938238","0.005965409423496191","0.2832570016832408","","3.4612614569105657","379.94905911091075","0.042427421487329586","9.258338791996747","0.10745854266094249","0.007769388223019752","0.0631600509647811","","","5.529645932396007","","0.0001774771300025314","0.02818461580687829","0.02566949103099966","0.2554951047042774","8.07198532069362","","0.054079470670903115","","","1.2459558422249266","0.7172245252683692","","0.01734171127811538","0.015148473839456467","0.0004908475398951078","0.06100767820089379","0.002448912589825604","0.011182803877128281","0.030377914144924967","","","0.0013632960362517422","17.379720452732887","","0.041142823408664146","","0.03192283966910836","1.7761055467968825","0.45285095514981033","0.0061172927012376884","6.918685244181726e-05","0.0005157768224518681","0.003839892819187748","2.1738248514522702","23.793180723209527","","0.41497646418132067","0.1492053789379494","","","1.022862890704898","0.03733373447808","0.1217997247990751","","2.0146089176558584","0.00027355232859815876","478.8832334032665","407.98987851456394","12.998481562264486","10.799913258273225","13.91342613881493","","0.2599205812056916","0.8744411728477263","1.6616622540610024","0.010893378644113912","0.0012126695392722098","","","0.07638087001952137","1.3478047435201004","0.039384605549737786","","0.00544775599052685","","","0.6871099974596355","3.617510669859636","","","0.4442901993094572","","757.657832249771","0.05202719877942191","","","","","0.001190394862871493","0.00024220403670864363","","6.250636992113503","7.96773442386401","0.49661105011233936","","0.0026202654308298953","0.7983174034272573","","0.004094997185978648","0.00500809091172399","0.00661768916516535","0.18586486027804472","0.2942919527494272","","","","0.033861303912720575","8.713948796211326","","0.9894085584126451","57.27909287188844","43.3607248903038","","","1.8501408692697543","0.25780407737616","","0.08451033351476403","0.001846157621187708","0.00024817213736099075","","3406.6518250843283"
"Armenia","","","","","","","","","","","","","287.1205119186466","","","","","0.4271616935037779","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84.05790729159311","2.3163872890002475","","1.2683953292867645","","","","","","","","","","","","","","","6.369052496333292","","","","","","","","","0.038164494852265946","","","","","","","","","","9.04096962499982","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.891340204199519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.63879185981814","","","","","","","","","0.5995204307699481","","","","","3.5705102852895236","","","","","","","","","","","","","","409.33871291829297"
"Aruba","","0.0034583951847763673","0.0032771987243612644","","","","0.001855074790974661","0.038225974711006305","","","0.07041732030633484","0.06849461748019846","","","","0.0018709487126186233","0.008513961560158248","","0.8189324259653119","","","0.09803012393357342","","0.01298617245343199","","","0.18915044080646634","","0.0011977419672551774","","","0.0030196252883756456","","","0.05474974095309085","","","","","1.3746338925195521e-05","6.220492341715843","15.423513964333639","","","","0.2445641463528682","","0.0016723863948245447","","","","","0.004547988135233078","","0.032035251255949845","12.57384104478818","0.34695176383742204","0.019204223613845016","0.006973515218435798","","","","0.0030153607719850357","","0.0009519208033729848","0.0033379587543881373","0.6112881750937726","","","0.002624326432046751","","0.25400646213259676","0.0005291452753907548","0.0070673788018424145","","0.11812183728033646","","0.04583628979354524","","","0.17889784525383334","1.947520104768203","0.04147277305592234","0.021503315182730312","0.014728433834823685","0.00463700050951064","1.4443536637933705","0.10110680567864157","0.003877611391583591","","0.002714923338817004","","0.004034104262133527","0.1269367459395525","1.269959184574581","0.011469696223980114","","","0.008649334002447316","","","0.009616775534601753","","1.2676937857323673e-05","","5.186803554200002e-05","0.0022206956240792357","0.36143055373342137","0.001839653213744664","","","","","","0.0007112809152103844","0.0011705935319379973","","0.002020506343528447","","","0.0017927011027132236","","","","0.07749813458916499","","","","","","","0.010895233656693617","","","","0.00473042463913404","6.956239524647265","","","0.010286639311764845","0.0012594345924967715","0.0779030218903992","","0.003874480646609462","","0.008696596012410246","","0.047926988924094825","","0.002009855274931407","1.9839063972762303","3.8247523394328837","0.024445750065380786","0.3277678576686283","","","0.002019701500171536","0.005676239949426863","0.08338316307960039","","","","0.003681005784073319","","0.0030327888005904687","","","","0.41842995566160485","0.020926865261020226","0.003400965674893124","","","0.028292694035754865","","0.31284842107519695","0.003337839175056886","0.06036741731562911","0.00986736792179415","","0.05454015945272313","0.00029184019913694475","0.03659041787839744","","0.022283910845324436","0.05192007393996598","0.0012425849975390636","","0.00033158759643139873","0.005423550180939431","","","0.0018909728419574355","0.039247504873951955","0.0032983129051731993","0.0049218800415852595","","","","","0.016083129669082655","","0.01992536218658678","1.2431294654955303","","","","0.5844868510006309","0.007635532611757021","","","","","","59.26819807732478"
